account_id,window_days,start_date,end_date,n_signals,win_rate,mean_excess_return,sharpe_like,mean_brier,mean_clv_points,mean_pred_pnl,alpha_score
6,90,2025-07-04,2025-10-02,1,1.0,,,,1.0,,0.4905291264439729
9,90,2025-07-04,2025-10-02,3,,0.06565656565656565,6.77333794208063,,,,0.46840661451238425
3,90,2025-07-04,2025-10-02,3,,0.08581196581196582,3.468922697164794,,,,0.22473282650274595
2,90,2025-07-04,2025-10-02,3,,0.06481481481481481,4.949747090305862,,,,0.21369179673938118
4,90,2025-07-04,2025-10-02,1,1.0,,,0.3364000000000001,,0.5800000000000001,0.11785113019734135
5,90,2025-07-04,2025-10-02,1,1.0,,,0.17640000000000003,,0.41999999999999993,0.11785113019734124
1,90,2025-07-04,2025-10-02,3,,0.048616734143049935,3.3190254140962203,,,,-0.1693009168806666
7,90,2025-07-04,2025-10-02,1,1.0,,,,0.5,,-0.2548268660492904
8,90,2025-07-04,2025-10-02,1,0.0,,,,,,-0.47140452078936507
10,90,2025-07-04,2025-10-02,3,,0.015548427336719238,1.5720400158761125,,,,-0.7375303208738456
